problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",99.0,4990,0.04137248,5001.0
CONTPEAKS,MIMIC,"['100', '50', '0.7']",73.0,1280,8.990030108,141800.0
CONTPEAKS,SA,"['0.95']",99.0,4440,0.013466068000000001,4451.0
CONTPEAKS,GA,"['100', '50', '30']",99.0,2830,0.17164077600000002,179213.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",843.0,2970,2866.35280635,327700.0
FLIPFLOP,GA,"['100', '50', '50']",609.0,1580,0.552022294,111143.0
FLIPFLOP,SA,"['0.55']",786.0,3000,0.027323025,3011.0
FLIPFLOP,RHC,"[]",756.0,2820,0.035391108,2831.0
NN,SA,"['/NN', 'SA', '0.9']",1.0,80,1.522448929,0
NN,GA,"['/NN', 'GA', '50', '10', '1']",1.0,0,0.20695087399999998,0
NN,Backprop,"['/NN', 'Backpro']",1.0,0,0.129483599,0
NN,RHC,"['/NN', 'RH']",0.975217989904,500,8.060933268,0
TSP,SA,"['0.35']",0.0560534864071,2990,0.00442435998957,3001.0
TSP,GA,"['100', '50', '10']",0.112603927704,1940,0.460917085999,106951.0
TSP,MIMIC,"['100', '50', '0.1']",0.0359044168819,2840,409.552624081,313400.0
TSP,RHC,"[]",0.0585403998797,2930,0.00569529900167,2941.0
